open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708498800,51741.97,51780.04,51452.45,51568.64,1459.17317,1708502399,75337410.4336576,75609,703.18308,36311607.784696,0
1708502400,51568.64,51787.04,51530.29,51667.84,1354.26908,1708505999,69947917.1884451,64638,690.36735,35659259.8300815,0
1708506000,51667.85,51698.0,51000.93,51095.1,2744.41955,1708509599,140978815.5437412,97401,1069.154,54915047.7147257,0
1708509600,51095.1,51413.33,50888.0,51271.1,3125.30749,1708513199,159826341.7615817,120975,1539.36975,78759391.8315368,0
1708513200,51271.1,51369.0,50813.0,50965.53,2156.35214,1708516799,110152496.2749551,109696,1078.59095,55096806.9605586,0
1708516800,50965.53,51392.14,50625.0,51310.7,3340.80061,1708520399,170664255.9673468,140999,1739.58565,88919531.9532805,0
1708520400,51310.69,51442.26,50900.0,51181.09,2373.86746,1708523999,121382519.3574218,89747,1329.98658,68009456.3633822,0
1708524000,51181.1,51208.6,50750.0,50929.99,3120.40522,1708527599,159161264.5214386,113589,1638.16294,83562770.9197269,0
1708527600,50930.0,51328.33,50841.1,51156.0,2818.50389,1708531199,144061741.3842701,106413,1613.64282,82466656.4453663,0
1708531200,51156.0,51426.0,51010.0,51346.39,2060.51339,1708534799,105533985.3625588,105326,1166.08975,59715391.0836739,0
1708534800,51346.39,51427.43,50890.0,50931.35,1933.49418,1708538399,98916394.649902,78907,1053.19401,53894743.9706028,0
1708538400,50931.35,51107.21,50810.0,50855.83,1659.40184,1708541999,84524435.1216385,65087,860.39482,43829127.0469458,0
1708542000,50855.82,51058.0,50649.28,51058.0,2100.67317,1708545599,106896613.4594502,80188,1175.62497,59831891.5604719,0
1708545600,51057.99,51129.18,50862.5,50957.94,1927.60322,1708549199,98350232.8672744,61972,997.33764,50889554.8808672,0
1708549200,50957.94,51398.0,50945.46,51385.34,1807.67562,1708552799,92544627.4706933,65499,991.64416,50769584.3865302,0
1708552800,51385.35,51525.0,51221.37,51511.1,1055.99571,1708556399,54264425.5317066,47399,622.69072,32006512.2220108,0
1708556400,51511.11,51950.01,51487.93,51849.39,2066.51698,1708559999,106865054.0216595,72724,1161.14301,60050580.9398218,0
1708560000,51849.38,51878.18,51500.0,51532.57,1621.87014,1708563599,83819595.0865017,63901,760.08739,39279782.1103674,0
1708563600,51532.58,51630.01,51153.69,51238.81,1393.36888,1708567199,71642160.5190965,63778,678.27129,34876403.9734267,0
1708567200,51238.82,51490.0,51224.05,51418.36,1000.46115,1708570799,51415077.9550157,56438,580.78764,29847433.0238372,0
1708570800,51418.37,51658.54,51372.6,51586.1,669.71706,1708574399,34515084.1995961,46959,390.81266,20140639.4706717,0
1708574400,51586.1,51640.01,51352.0,51434.61,800.02942,1708577999,41222009.2021708,47732,303.413,15634243.954052,0
1708578000,51434.62,51684.51,51421.87,51524.88,967.09202,1708581599,49867393.8298022,67739,489.39749,25237404.1881418,0
1708581600,51524.89,51809.62,51524.88,51767.51,1076.48657,1708585199,55651381.520569,96417,534.26049,27618521.4323525,0
1708585200,51767.5,51910.32,51661.22,51827.63,1582.49944,1708588799,81991568.3587534,74734,824.73021,42728474.7669581,0
1708588800,51827.63,51937.89,51672.42,51888.52,1596.21955,1708592399,82736105.8456726,69429,778.83522,40368529.1663312,0
1708592400,51888.52,52034.12,51700.0,51945.31,1462.55867,1708595999,75840169.6115051,68378,761.51965,39493472.0478525,0
1708596000,51945.31,51945.32,51588.36,51694.07,1152.65535,1708599599,59701323.4547242,58881,528.27926,27361272.3590088,0
1708599600,51694.08,51699.99,51517.63,51622.04,1293.80778,1708603199,66783810.9949372,58136,628.95425,32466124.7806092,0
1708603200,51622.05,51733.05,51424.28,51521.1,1263.21133,1708606799,65148728.4478283,57311,554.67366,28605217.6622791,0
1708606800,51521.11,51543.84,50940.78,51164.02,2903.22242,1708610399,148672228.3340119,108128,1280.77197,65584542.6600293,0
1708610400,51164.01,51418.39,51060.0,51374.0,2301.40041,1708613999,117832345.5350027,131491,1271.79148,65117767.0008165,0
1708614000,51374.0,51674.17,51286.2,51602.4,2137.27392,1708617599,110038480.6308516,98967,1193.6214,61452428.1797392,0
1708617600,51602.41,51750.01,51400.0,51479.09,1578.77911,1708621199,81406599.5578528,77019,706.98209,36455069.9554946,0
1708621200,51479.1,51731.1,51454.01,51697.4,1229.96141,1708624799,63465139.5985487,63961,674.34325,34793870.8718412,0
1708624800,51697.4,51720.87,51501.0,51718.81,1083.34154,1708628399,55932213.4199885,52451,608.52797,31417607.273588,0
1708628400,51718.82,51718.82,51460.8,51509.99,1412.76654,1708631999,72868289.5124112,50652,602.38295,31063442.1066613,0
1708632000,51509.99,52065.78,51461.1,51995.58,3121.92839,1708635599,161884954.0513179,108926,1779.83133,92299976.8481736,0
1708635600,51995.59,52007.65,51545.26,51656.96,1264.97024,1708639199,65383720.7017598,54274,667.58788,34505948.7614674,0
1708639200,51656.96,51717.87,51184.04,51456.01,1357.06045,1708642799,69815233.2041995,73657,695.54171,35787568.55782,0
1708642800,51456.01,51482.69,51230.0,51288.42,1038.76395,1708646399,53316093.5864166,38825,535.06306,27463742.7563424,0
1708646400,51288.42,51483.09,51263.53,51455.85,835.28774,1708649999,42921428.6845829,38508,474.5484,24386121.0003386,0
1708650000,51455.84,51548.54,51310.41,51311.11,744.66619,1708653599,38306530.2030247,37966,389.7061,20052356.5166636,0
1708653600,51311.11,51426.0,51035.52,51096.39,1056.04694,1708657199,54130549.2013154,47173,454.71057,23319417.728527,0
