lastUpdateId,bids,asks
45167483273,"['69261.05000000', '0.36084000']","['69348.92000000', '0.00009000']"
45167483273,"['69260.90000000', '0.00115000']","['69348.98000000', '0.00030000']"
45167483273,"['69260.19000000', '0.01225000']","['69349.05000000', '0.00030000']"
45167483273,"['69260.00000000', '0.16920000']","['69349.12000000', '0.00030000']"
45167483273,"['69259.98000000', '0.28877000']","['69349.19000000', '0.00030000']"
45167483273,"['69259.54000000', '0.00721000']","['69349.26000000', '0.00030000']"
45167483273,"['69259.53000000', '0.02013000']","['69349.33000000', '0.00030000']"
45167483273,"['69259.17000000', '0.08082000']","['69349.36000000', '0.01600000']"
45167483273,"['69258.82000000', '0.00008000']","['69349.40000000', '0.00030000']"
45167483273,"['69257.15000000', '0.40618000']","['69349.47000000', '0.00030000']"
45167483273,"['69257.14000000', '0.05776000']","['69349.54000000', '0.00030000']"
45167483273,"['69257.10000000', '0.73507000']","['69349.61000000', '0.00030000']"
45167483273,"['69256.56000000', '0.42378000']","['69349.68000000', '0.00030000']"
45167483273,"['69256.55000000', '0.00896000']","['69349.75000000', '0.00030000']"
45167483273,"['69256.36000000', '0.00432000']","['69349.77000000', '0.00984000']"
45167483273,"['69256.35000000', '0.00070000']","['69349.82000000', '0.00030000']"
45167483273,"['69256.17000000', '0.28868000']","['69349.89000000', '0.00030000']"
45167483273,"['69255.60000000', '0.00087000']","['69349.96000000', '0.00030000']"
45167483273,"['69255.36000000', '0.28924000']","['69350.00000000', '0.10450000']"
45167483273,"['69255.01000000', '0.01256000']","['69350.03000000', '0.00030000']"
45167483273,"['69254.63000000', '0.28869000']","['69350.10000000', '0.00030000']"
45167483273,"['69254.45000000', '0.00015000']","['69350.12000000', '0.00015000']"
45167483273,"['69254.39000000', '0.00014000']","['69350.20000000', '0.00144000']"
45167483273,"['69253.80000000', '0.00037000']","['69351.47000000', '0.00036000']"
45167483273,"['69253.27000000', '0.00100000']","['69351.75000000', '0.00019000']"
45167483273,"['69253.07000000', '0.11840000']","['69352.10000000', '1.58770000']"
45167483273,"['69252.58000000', '0.00022000']","['69352.12000000', '0.02884000']"
45167483273,"['69252.57000000', '0.00666000']","['69352.19000000', '0.72137000']"
45167483273,"['69252.02000000', '0.00184000']","['69352.24000000', '0.00008000']"
45167483273,"['69252.01000000', '0.00072000']","['69352.25000000', '0.00018000']"
45167483273,"['69251.90000000', '0.00008000']","['69352.94000000', '0.00008000']"
45167483273,"['69251.36000000', '0.04350000']","['69353.07000000', '0.00742000']"
45167483273,"['69251.35000000', '0.07242000']","['69353.14000000', '0.00036000']"
45167483273,"['69251.16000000', '0.00245000']","['69353.59000000', '0.28828000']"
45167483273,"['69250.97000000', '0.00276000']","['69354.59000000', '4.87167000']"
45167483273,"['69250.20000000', '0.00144000']","['69354.60000000', '0.36084000']"
45167483273,"['69250.01000000', '0.17497000']","['69354.80000000', '0.00028000']"
45167483273,"['69250.00000000', '0.30592000']","['69355.26000000', '0.00100000']"
45167483273,"['69249.42000000', '0.00239000']","['69355.61000000', '0.28827000']"
45167483273,"['69248.79000000', '0.02825000']","['69355.68000000', '0.52972000']"
45167483273,"['69248.44000000', '0.00028000']","['69355.70000000', '0.00008000']"
45167483273,"['69247.69000000', '0.00447000']","['69356.98000000', '0.00327000']"
45167483273,"['69246.97000000', '0.17279000']","['69357.00000000', '0.00753000']"
45167483273,"['69246.16000000', '0.21659000']","['69357.10000000', '0.00053000']"
45167483273,"['69246.15000000', '0.33198000']","['69357.14000000', '0.00008000']"
45167483273,"['69245.68000000', '0.34963000']","['69357.28000000', '0.02258000']"
45167483273,"['69245.47000000', '0.36084000']","['69358.40000000', '0.86602000']"
45167483273,"['69245.31000000', '0.05933000']","['69359.16000000', '0.28913000']"
45167483273,"['69245.17000000', '0.02831000']","['69359.17000000', '0.00016000']"
45167483273,"['69244.98000000', '0.28913000']","['69359.54000000', '0.00010000']"
45167483273,"['69244.05000000', '0.00014000']","['69360.00000000', '0.08917000']"
45167483273,"['69243.82000000', '0.00015000']","['69360.16000000', '0.03935000']"
45167483273,"['69243.10000000', '0.14385000']","['69360.20000000', '0.00078000']"
45167483273,"['69243.09000000', '0.02800000']","['69360.39000000', '0.05525000']"
45167483273,"['69243.06000000', '0.00008000']","['69360.60000000', '0.00260000']"
45167483273,"['69242.67000000', '0.37783000']","['69360.75000000', '0.00015000']"
45167483273,"['69242.41000000', '0.25986000']","['69360.89000000', '0.00012000']"
45167483273,"['69242.40000000', '0.42378000']","['69360.90000000', '0.01371000']"
45167483273,"['69241.52000000', '0.00024000']","['69360.95000000', '0.05467000']"
45167483273,"['69240.90000000', '0.00116000']","['69361.43000000', '0.02800000']"
45167483273,"['69240.80000000', '0.28436000']","['69361.59000000', '0.03004000']"
45167483273,"['69240.71000000', '0.13823000']","['69362.15000000', '0.02825000']"
45167483273,"['69240.60000000', '0.00260000']","['69363.79000000', '0.01506000']"
45167483273,"['69240.01000000', '0.13017000']","['69363.96000000', '0.00326000']"
45167483273,"['69240.00000000', '0.21693000']","['69364.33000000', '0.00984000']"
45167483273,"['69239.17000000', '0.16571000']","['69364.98000000', '0.10180000']"
45167483273,"['69238.93000000', '0.02870000']","['69365.11000000', '1.58770000']"
45167483273,"['69238.00000000', '0.02290000']","['69365.66000000', '0.00325000']"
45167483273,"['69237.30000000', '0.00742000']","['69365.84000000', '0.00019000']"
45167483273,"['69237.15000000', '0.17278000']","['69366.08000000', '0.00008000']"
45167483273,"['69235.74000000', '0.01443000']","['69366.09000000', '0.00013000']"
45167483273,"['69235.13000000', '0.00251000']","['69366.36000000', '0.01419000']"
45167483273,"['69234.95000000', '0.05222000']","['69366.48000000', '0.02800000']"
45167483273,"['69234.63000000', '0.17378000']","['69366.79000000', '0.00014000']"
45167483273,"['69234.62000000', '0.02825000']","['69366.89000000', '0.70101000']"
45167483273,"['69234.60000000', '0.28952000']","['69367.46000000', '0.28436000']"
45167483273,"['69234.28000000', '0.11359000']","['69367.49000000', '0.51011000']"
45167483273,"['69234.13000000', '0.03204000']","['69367.63000000', '0.01496000']"
45167483273,"['69234.11000000', '0.00865000']","['69367.74000000', '0.02845000']"
